entity,interventions
AILAC,0,202
ALBA,0,202
AOSIS,0,202
Afghanistan,0,202
African Group,0,202
Albania,0,202
Algeria,0,202
Angola,0,202
Antigua and Barbuda,0,202
Arab Group,0,202
Argentina,0,202
Armenia,0,202
Australia,1,202
Austria,0,202
Azerbaijan,0,202
BASIC,0,202
Bahamas,0,202
Bahrain,0,202
Bangladesh,1,202
Barbados,0,202
Belarus,0,202
Belgium,0,202
Belize,0,202
Benin,0,202
Bhutan,0,202
Bolivia,0,202
Bosnia and Herzegovina,0,202
Botswana,0,202
Brazil,0,202
Brunei,0,202
Bulgaria,0,202
Burkina Faso,0,202
Burundi,0,202
CACAM,0,202
COMIFAC,0,202
Cambodia,0,202
Cameroon,0,202
Canada,2,202
Cape Verde,0,202
Cartagena Dialogue,0,202
Central African Republic,1,202
Central America,0,202
Central Group,0,202
Central Group Eleven,0,202
Chad,0,202
Chile,0,202
China,1,202
Coalition of Rainforest Nations,0,202
Colombia,0,202
Congo Basin Countries,0,202
"Congo, Democratic Rep.",0,202
"Congo, Republic",0,202
Cook Islands,0,202
Costa Rica,0,202
Cote d'Ivoire,0,202
Croatia,1,202
Cuba,0,202
Cyprus,0,202
Czech Republic,0,202
Denmark,0,202
Djibouti,0,202
Dominica,0,202
Dominican Republic,0,202
EU,7,202
Ecuador,0,202
Egypt,0,202
El Salvador,0,202
Environmental Integrity Group,0,202
Equatorial Guinea,0,202
Eritrea,1,202
Estonia,0,202
Ethiopia,0,202
Fiji,0,202
Finland,0,202
France,0,202
G77,4,202
Gabon,0,202
Gambia,0,202
Georgia,0,202
Germany,0,202
Ghana,0,202
Greece,0,202
Grenada,0,202
Group of 9,0,202
Guatemala,0,202
Guinea,0,202
Guinea-Bissau,0,202
Guyana,0,202
Haiti,0,202
Honduras,0,202
Hungary,0,202
Iceland,0,202
India,3,202
Indonesia,0,202
Iran,1,202
Iraq,0,202
Ireland,0,202
Israel,0,202
Italy,0,202
JUSCANZ,0,202
Jamaica,0,202
Japan,1,202
Jordan,0,202
Kazakhstan,0,202
Kenya,0,202
Kiribati,0,202
"Korea, Republic",0,202
Kuwait,0,202
Kyrgyz Republic,0,202
LDCs,0,202
Like Minded Developing Countries,0,202
Lao PDR,0,202
Latvia,0,202
Lebanon,0,202
Lesotho,0,202
Liberia,0,202
Libya,0,202
Liechtenstein,0,202
Lithuania,0,202
Luxembourg,0,202
Macedonia,0,202
Madagascar,0,202
Malawi,0,202
Malaysia,0,202
Maldives,0,202
Mali,0,202
Malta,0,202
Marshall Islands,0,202
Mauritania,0,202
Mauritius,0,202
Mexico,0,202
Micronesia,0,202
Moldova,0,202
Monaco,0,202
Mongolia,0,202
Morocco,0,202
Mountain Landlocked Developing Countries,0,202
Mozambique,0,202
Myanmar,0,202
Namibia,0,202
Nauru,0,202
Nepal,0,202
Netherlands,0,202
New Zealand,1,202
Nicaragua,0,202
Niger,0,202
Nigeria,0,202
Niue,0,202
"Korea, Democratic Rep.",0,202
Norway,1,202
OECD,0,202
OPEC,0,202
Oman,0,202
Pakistan,0,202
Palau,0,202
Palestine,0,202
Panama,0,202
Papua New Guinea,0,202
Paraguay,0,202
Peru,0,202
Philippines,0,202
Poland,0,202
Portugal,0,202
Qatar,0,202
Romania,0,202
Russian Federation,0,202
Rwanda,0,202
SICA,0,202
Samoa,0,202
Saudi Arabia,3,202
Senegal,0,202
Serbia and Montenegro,0,202
Seychelles,0,202
Sierra Leone,0,202
Singapore,0,202
Slovak Republic,0,202
Slovenia,0,202
Solomon Islands,0,202
South Africa,0,202
South Sudan,0,202
Spain,0,202
Sri Lanka,0,202
St. Lucia,0,202
St. Vincent and the Grenadines,0,202
Sudan,0,202
Suriname,0,202
Swaziland,0,202
Sweden,0,202
Switzerland,0,202
Syrian Arab Republic,0,202
Tajikistan,0,202
Tanzania,0,202
Thailand,1,202
Timor-Leste,0,202
Togo,0,202
Tonga,0,202
Trinidad and Tobago,0,202
Tunisia,0,202
Turkey,0,202
Turkmenistan,0,202
Tuvalu,1,202
Uganda,0,202
Ukraine,0,202
Umbrella Group,0,202
United Arab Emirates,0,202
United Kingdom,1,202
United States,4,202
Uruguay,0,202
Uzbekistan,0,202
Vanuatu,0,202
Venezuela,0,202
Vietnam,0,202
Visegrad Group,0,202
Yemen,0,202
Yugoslavia,1,202
Zambia,0,202
Zimbabwe,1,202
Southern Africa Development Community,0,202
Caribbean Community,0,202
EITs,0,202
Somalia,0,202
Comoros,0,202
